session_id,epoch_start_time_original_s,epoch_start_time_trimmed_s,meditation_state,LF_abs_theta_power,LF_rel_theta_power,LF_sef95,LF_abs_alpha_power,LF_abs_delta_power,LF_rel_delta_power,LF_rel_alpha_power,LF_alpha_theta_ratio,RF_abs_theta_power,RF_rel_theta_power,RF_sef95,RF_abs_alpha_power,RF_abs_delta_power,RF_rel_delta_power,RF_rel_alpha_power,RF_alpha_theta_ratio,OTEL_abs_theta_power,OTEL_rel_theta_power,OTEL_sef95,OTEL_abs_alpha_power,OTEL_abs_delta_power,OTEL_rel_delta_power,OTEL_rel_alpha_power,OTEL_alpha_theta_ratio,LF_RF_theta_coherence,LF_RF_theta_plv,LF_OTEL_theta_coherence,LF_OTEL_theta_plv,RF_OTEL_theta_coherence,RF_OTEL_theta_plv,LF_RF_alpha_coherence,LF_RF_alpha_plv,LF_OTEL_alpha_coherence,LF_OTEL_alpha_plv,RF_OTEL_alpha_coherence,RF_OTEL_alpha_plv,LF_abs_alpha_power_smoothed,LF_abs_theta_power_smoothed,LF_alpha_theta_ratio_smoothed,LF_rel_alpha_power_smoothed,LF_rel_theta_power_smoothed,OTEL_abs_alpha_power_smoothed,OTEL_abs_theta_power_smoothed,OTEL_alpha_theta_ratio_smoothed,OTEL_rel_alpha_power_smoothed,OTEL_rel_theta_power_smoothed,RF_abs_alpha_power_smoothed,RF_abs_theta_power_smoothed,RF_alpha_theta_ratio_smoothed,RF_rel_alpha_power_smoothed,RF_rel_theta_power_smoothed,heart_rate...87,heart_rate...88,hr_min,hr_max,hr_std,stillness_score,movement_intensity,accel_magnitude_mean,accel_magnitude_std,accel_jerk_mean,movement_count
session_20250515_011129,34,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,4.339925,35.680592,4.339925,23.274055,0
session_20250515_011129,36,6,0,0,0,2.626495,0,0,0,0,0,0,0,13.496554,0,0,0,0,0,0,0,5.978023,0,0,0,0,0,0,0,0.14583,0.184701,0.154558,0.214333,0,0,0.170177,0.168914,0.228748,0.119518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,4.365378,35.312716,4.365378,18.028982,0
session_20250515_011129,38,8,0,0,0,2.899266,0,0,0,0,0,0,0,13.035313,0,0,0,0,0,0,0,4.36423,0,0,0,0,0,0,0,0.166199,0.238879,0.193747,0.082257,0,0,0.15812,0.161765,0.109102,0.147291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,4.515419,28.005897,4.515419,17.101581,0
session_20250515_011129,40,10,0,0,0,2.825188,0,0,0,0,0,0,0,2.727261,0,0,0,0,0,0,0,4.469849,0,0,0,0,0,0,0,0.35073,0.308116,0.373401,0.434032,0,0,0.223331,0.095442,0.120383,0.258791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,3.086893,25.870008,3.086893,22.543453,0
session_20250515_011129,42,12,0,0,0,3.211934,0,0,0,0,0,0,0,6.539277,0,0,0,0,0,0,0,2.896336,0,0,0,0,0,0,0,0.57149,0.376771,0.205176,0.234274,0,0,0.243948,0.221505,0.051322,0.021302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,3.215891,25.324078,3.215891,18.098496,0
session_20250515_011129,44,14,0,0,0,1.956175,0,0,0,0,0,0,0,10.616492,0,0,0,0,0,0,0,3.168061,0,0,0,0,0,0,0,0.121447,0.096701,0.058874,0.065886,0,0,0.172212,0.183164,0.221629,0.246679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,60,60,60,0,0,3.952919,24.843464,3.952919,17.311629,0
session_20250515_011129,46,16,0,0,0,1.5384,0,0,0,0,0,0,0,6.988749,0,0,0,0,0,0,0,1.31184,0,0,0,0,0,0,0,0.42811,0.154854,0.260646,0.233025,0,0,0.195039,0.279262,0.11996,0.143254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64,64,64,0,0,7.7493,32.055687,7.7493,21.797395,0
session_20250515_011129,48,18,0,0,0,1.477583,0,0,0,0,0,0,0,17.146112,0,0,0,0,0,0,0,2.536549,0,0,0,0,0,0,0,0.396812,0.177048,0.192683,0.324866,0,0,0.182463,0.315437,0.163045,0.172932,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,64,64,64,0,0,6.825798,32.512421,6.825798,19.907146,0
session_20250515_011129,50,20,0,0,0,3.963022,0,0,0,0,0,0,0,16.531816,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0.143324,0.042702,0.263683,0.12404,0,0,0.178495,0.202264,0.11108,0.3237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,2.880987,26.927435,2.880987,23.318875,0
session_20250515_011129,52,22,0,0,0,6.045863,0,0,0,0,0,0,0,11.843723,0,0,0,0,0,0,0,3.102296,0,0,0,0,0,0,0,0.287285,0.311138,0.33389,0.194635,0,0,0.139453,0.118858,0.124847,0.313776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,7.432958,31.557412,7.432958,26.073803,0
session_20250515_011129,54,24,0,0,0,1.880836,0,0,0,0,0,0,0,12.884675,0,0,0,0,0,0,0,3.210037,0,0,0,0,0,0,0,0.337297,0.496846,0.1384,0.250116,0,0,0.276566,0.292041,0.223358,0.119587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,5.802521,38.765467,5.802521,18.667234,0
session_20250515_011129,56,26,0,0,0,2.016559,0,0,0,0,0,0,0,5.213359,0,0,0,0,0,0,0,4.937536,0,0,0,0,0,0,0,0.17679,0.304292,0.167363,0.241782,0,0,0.241197,0.173991,0.269536,0.098894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,3.568263,38.285973,3.568263,13.747611,0
session_20250515_011129,58,28,0,0,0,1.814117,0,0,0,0,0,0,0,14.430189,0,0,0,0,0,0,0,7.166216,0,0,0,0,0,0,0,0.098629,0.094285,0.12731,0.247703,0,0,0.302075,0.205217,0.159049,0.132376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,1.510691,36.097769,1.510691,14.476999,0
session_20250515_011129,60,30,0,0,0,4.823344,0,0,0,0,0,0,0,9.679394,0,0,0,0,0,0,0,4.997016,0,0,0,0,0,0,0,0.115972,0.346018,0.268935,0.404673,0,0,0.159901,0.155412,0.113326,0.098694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,62,62,62,0,0,1.901258,35.473128,1.901258,16.389942,0
