Feature,Importance,Std_x,Mean,Std_y,CV
accel_magnitude_mean,0.046718648473034405,0.00742249640175514,-8.867928059408427e-17,1.0,1.1276591254470656e+16
rf_sef95,0.036777128005198154,0.005984966310419472,2.808177218812668e-16,1.0,3561028817201260.0
rf_oter_alpha_plv,0.034178037686809604,0.006240523562595436,-3.2515736217830896e-16,1.0,3075433978491997.5
otel_sef95,0.02287199480181934,0.005773842726841592,-1.0345916069309831e-16,0.9999999999999999,9665649646689134.0
rf_oter_theta_plv,0.01858349577647821,0.00800144212026622,2.955976019802809e-16,1.0,3382977376341197.0
rf_oter_theta_coherence,0.016504223521767336,0.006110626612350232,1.7735856118816854e-16,1.0,5638295627235328.0
lf_abs_alpha_power_smoothed,0.015854450942170195,0.003145865740587458,-1.8474850123767555e-17,0.9999999999999999,5.4127638021459144e+16
lf_sef95,0.014294996751137079,0.004897061385683364,3.1037748207929494e-16,1.0,3221883215563044.5
rf_oter_alpha_coherence,0.013580246913580207,0.00473443046964182,2.3647808158422474e-16,1.0,4228721720426495.5
accel_jerk_mean,0.0126055880441845,0.0025860622147020665,9.606922064359129e-17,1.0000000000000002,1.0409161157972916e+16
otel_rel_theta_power_smoothed,0.007732293697205938,0.004363163603430679,0.0,1.0,0.0
otel_abs_alpha_power_smoothed,0.00766731643924623,0.004656653116873008,-1.8474850123767555e-17,1.0,5.412763802145915e+16
oter_abs_theta_power_smoothed,0.007277452891487945,0.0033360617681594492,-1.1084910074260534e-17,0.9999999999999999,9.021273003576523e+16
lf_abs_alpha_power,0.007147498375568528,0.002949137288605649,-1.1084910074260534e-17,1.0,9.021273003576525e+16
oter_rel_alpha_power_smoothed,0.006757634827810233,0.006816111262868542,5.542455037130267e-18,1.0,1.804254600715305e+17
otel_abs_theta_power_smoothed,0.00630279402209224,0.003942251153246909,1.4779880099014046e-17,0.9999999999999999,6.765954752682392e+16
lf_otel_theta_coherence,0.006237816764132509,0.004380064859350924,-2.475629916584852e-16,1.0,4039375971750683.0
rf_alpha_theta_ratio,0.006042884990253361,0.0028773995874573693,-5.542455037130267e-18,0.9999999999999999,1.8042546007153046e+17
